,nfe,epsilon_progress,hypervolume
0,0,0,0.0
1,100,18,0.6282021092710904
2,1193,77,0.9441924562220643
3,2290,140,0.9901961735435607
4,3386,198,0.9922842850328218
5,4484,236,0.9933378029378822
6,5579,249,0.9934013850135867
7,6676,258,0.994173077636872
8,7773,263,0.9942440499905791
9,8862,265,0.9942792132985606
10,9933,270,0.9985881843962896
11,10939,284,0.9993168327260301
12,11957,284,0.9993168327260301
13,12975,284,0.9993168327260301
14,13996,284,0.9993168327260301
15,15005,284,0.9993168327260301
