,nfe,epsilon_progress,hypervolume
0,0,0,0.0
1,100,20,0.6344978558357605
2,1197,90,0.9643768033890613
3,2296,186,0.9956146513679943
4,3393,258,0.9962872378626142
5,4487,315,0.9972940024674786
6,5584,364,0.9982283718745428
7,6677,401,0.9983041143594373
8,7766,408,0.9983071235921926
9,8846,420,0.9983829356923292
10,9928,430,0.9984419902150716
11,11004,439,0.9984709157482028
12,12090,447,0.9984901337304083
13,13172,452,0.9985247372178682
14,14247,455,0.9985313250946101
15,15039,456,0.9985313436141553
