,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Damage Mean Statistic,Investment Mean Statistic,Deaths Mean Statistic
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3366732.683444789,27578229.967655238,0.00018537391387265427
1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,1,0,0,0,1,0,0,7,0,0,5,0,0,0.0,50938327.0,0.0
2,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,1420568.5762933325,36031637.0,0.00011014177384951999
3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8186264.932379671,0.0,0.000667343408396433
4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1243663.383017798,37683606.26190176,6.110685769753113e-05
5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,725560.732502105,38804933.738988034,4.024950509229965e-05
6,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,4,0,0,1,0,0,0,0,0,0,7,0,0,4,0,0,23896.89899967073,47638768.33869635,1.103581267528612e-06
7,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,333131.6811071587,41420297.728634454,2.6220997833504883e-05
8,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2519547.720432039,30351526.042379975,0.00010087128513142681
9,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,580140.0996920888,40046721.40454502,3.563925241888263e-05
10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4774612.754396872,25037214.0,0.0003259113799151369
11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5716838.868262665,14261651.0,0.0005723853990605789
12,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,1,0,0,0,1,0,2,0,0,0,2,0,0,4284875.020065241,27578229.0,0.0002513170003590227
13,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7268850.713133883,6320800.0,0.0006346792464299975
14,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,2456931.493960807,33899030.0,0.00015313560137539934
15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1027712.0904272714,38647001.0,9.605228164156789e-05
16,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,7179074.147280756,7332080.0,0.000647583420263101
17,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,1,0,0,0,0,0,0,0,5,0,0,4,0,0,181498.7217941553,44445888.0,1.0937185330511344e-05
18,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,6,0,0,4,0,0,94745.18057203018,45963574.0,7.249150977473512e-06
19,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,725695.9519041006,38804933.0,4.0268797753311016e-05
