A.4 Expected Annual Damage,A.4 Dike Investment Costs,A.4 Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Dike Investment Costs,A.5 Expected Number of Deaths,Combined Expected Annual Damage,Combined Dike Investment Costs,Combined Expected Number of Deaths,policy
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,45165707.050392166,0,0.004873106030883048,45165707.050392166,9695195.36216505,0.004873106030883048,90th Percentile Policy 01
0.0,9695195.36216505,0.0,222122633.2234093,0,0.019661659787286505,222122633.2234093,9695195.36216505,0.019661659787286505,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,58154975.19856807,0,0.006748947099371678,58154975.19856807,9695195.36216505,0.006748947099371678,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,60757293.144551754,0,0.006674019210402678,60757293.144551754,9695195.36216505,0.006674019210402678,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,60150882.165227264,0,0.005584867779544716,60150882.165227264,9695195.36216505,0.005584867779544716,90th Percentile Policy 01
430616.9636811145,9695195.36216505,2.6452659088271952e-05,40349544.546232425,0,0.004810028720412052,40780161.50991354,9695195.36216505,0.004836481379500324,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,7448554.704277349,0,0.0010257636956125607,7448554.704277349,9695195.36216505,0.0010257636956125607,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,25489915.763799332,0,0.00212683696449002,25489915.763799332,9695195.36216505,0.00212683696449002,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,107950506.12143022,0,0.00992605249443846,107950506.12143022,9695195.36216505,0.00992605249443846,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
0.0,9695195.36216505,0.0,1748830.1535963982,0,0.00017956842260170112,1748830.1535963982,9695195.36216505,0.00017956842260170112,90th Percentile Policy 01
0.0,9695195.36216505,0.0,0.0,0,0.0,0.0,9695195.36216505,0.0,90th Percentile Policy 01
